builder,chipset,frequency (MHz),boostFreq (MHz),overclok,bus,memory (Go),interfaceMem (bits),video memory freq (MHz),memory type,stream procs,direct X (max),multi GPU,consumption (W),price (euros)
amd,amd,625,,no,PCI Express 2.0 16x,1,64,667,DDR3,160,11,,18,37.94
asus,amd,625,,no,PCI Express 2.0 16x,1,64,600,GDDR3,160,11,CrossFireX,19,39.95
msi,nvidia,954,,no,PCI Express 2.0 16x,1,64,800,DDR3,192,12,,19,39.95
sapphire,amd,625,,no,PCI Express 2.0 16x,1,64,667,DDR3,160,11,,18,39.95
asus,nvidia,954,,no,PCI Express 2.0 16x,1,64,800,GDDR5,192,12,,19,41.95
gigabyte,nvidia,954,,no,PCI Express 2.0 8x,1,64,5010,GDDR5,192,12,,19,41.95
asus,nvidia,954,,no,PCI Express 2.0 16x,1,64,800,GDDR5,192,12,,19,41.95
msi,amd,625,,no,PCI Express 2.0 16x,1.024,64,667,DDR3,160,11,CrossFireX,20,44.95
sapphire,amd,625,,no,PCI Express 2.0 16x,2,64,667,DDR3,160,11,CrossFireX,19,44.95
sapphire,amd,625,,no,PCI Express 2.0 16x,2,64,667,DDR3,160,11,,18,49.96
asus,nvidia,954,,no,PCI Express 2.0 16x,2,64,800,GDDR5,192,12,,19,49.99
asus,amd,650,,no,PCI Express 2.0 16x,2,64,600,GDDR3,160,11,CrossFireX,19,51.95
msi,nvidia,954,,no,PCI Express 2.0 8x,2,64,800,DDR3,192,12,,19,52.96
asus,nvidia,954,,no,PCI Express 2.0 16x,2,64,800,GDDR5,192,12,,19,56.95
msi,amd,625,,no,PCI Express 2.0 16x,2.048,64,667,DDR3,160,11,CrossFireX,20,58.96
amd,amd,625,,no,PCI Express 2.0 16x,1.024,64,667,DDR3,160,11,CrossFireX,19,61.95
asus,nvidia,902,,no ,PCI Express 2.0 8x,2,64,800,DDR3,384,11,,25,69.95
startech,,,,no,PCI,0.016,32,,DDR,,,,2,69.95
msi,nvidia,1006,,no,PCI Express 2.0 16x,2,64,1600,DDR3,96,12,,23,72.95
asus,nvidia,902,,no,PCI Express 2.0 16x,2.048,64,1252,GDDR5,384,11,,,74.95
msi,nvidia,902,,no,PCI Express 2.0 16x,2,64,800,DDR3,,12,,25,74.95
asus,amd,730,780,no,PCI Express 3.0 16x,2,128,1150,GDDR5,320,11.2,CrossFireX,30,76.95
gigabyte,nvidia,1127,1506,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,78.95
gigabyte,nvidia,1227,1506,no,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,78.95
gigabyte,nvidia,1265,1544,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,83.95
asus,nvidia,902,,no,PCI Express 2.0 16x,2,64,1252,GDDR5,384,11,,25,84.95
asus,nvidia,1266,1506,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,89.95
msi,nvidia,1265,1518,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,89.95
msi,nvidia,1265,1518,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,92.95
msi,nvidia,1265,1518,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,92.95
sapphire,amd,1206,,no,PCI Express 3.0 16x,2,128,1750,GDDR5,512,12,CrossFireX,65,92.95
asus,nvidia,1278,1531,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,94.96
msi,nvidia,1265,1518,yes,PCI Express 3.0 16x,2,64,1502,GDDR5,384,12,,30,94.96
msi,amd,1183,1203,no,PCI Express 3.0 16x,2,128,7000,GDDR5,512,12,CrossFireX,65,96.95
msi,nvidia,1189,1430,yes,PCI Express 3.0 16x,2,64,2100,DDR4,384,12,,30,99.95
msi,amd,1183,1203,no,PCI Express 3.0 16x,2,128,1750,GDDR5,512,12,CrossFireX,65,99.95
msi,nvidia,1189,1430,yes,PCI Express 3.0 16x,2,64,2100,DDR4,384,12,,30,104.95
asus,amd,1183,,no,PCI Express 3.0 16x,2,128,1750,GDDR5,512,12,CrossFireX,65,109.95
sapphire,amd,1206,,no,PCI Express 3.0 16x,2,128,1750,GDDR5,640,12,CrossFireX,65,109.96
asus,amd,1183,,yes,PCI Express 3.0 16x,4,128,7000,GDDR5,512,12,CrossFireX,65,119.95
gigabyte,amd,1200,,yes,PCI Express 3.0 16x,2.048,128,1625,GDDR5,768,12,CrossFireX,,119.95
sapphire,amd,1071,,no,PCI Express 3.0 16x,4,128,1750,GDDR5,640,12,CrossFireX,65,129.95
sapphire,amd,1226,,yes,PCI Express 3.0 16x,2,128,1750,GDDR5,896,12,CrossFireX,90,129.95
asus,amd,,,yes,PCI Express 3.0 16x,2,128,1750,GDDR5,1024,12,CrossFireX,80,134.95
gigabyte,nvidia,1354,1493,no,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,134.95
sapphire,amd,1300,,yes,PCI Express 3.0 16x,2,128,1750,GDDR5,1024,12,CrossFireX,90,134.95
gigabyte,nvidia,1379,1518,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,138.95
gigabyte,amd,1176,1234,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,1024,12,CrossFireX,90,139.96
evga,nvidia,1354,1455,yes,PCI Express 3.0 16x,2,128,7008,GDDR5,640,12,,75,139.99
zotac,nvidia,1455,1569,yes,PCI Express 3.0 16x,2,128,1750,GDDR5,640,12,,75,143.95
gigabyte,nvidia,1417,1556,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,144.95
gigabyte,nvidia,1392,1506,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,144.95
asus,nvidia,1354,1455,no,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,149.95
inno3D,nvidia,1354,1455,no,PCI Express 3.0 16x,2,128,1750,GDDR5,640,12,,75,149.95
evga,nvidia,1417,1531,yes,PCI Express 3.0 16x,2,128,7008,GDDR5,640,12,,75,154.96
gigabyte,nvidia,1392,1531,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,154.96
msi,nvidia,1354,1455,no,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,158.95
asus,nvidia,1430,1544,no,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,159.95
inno3D,nvidia,1354,1455,no,PCI Express 3.0 16x,2,128,1750,GDDR5,640,12,,75,159.95
msi,nvidia,1404,1518,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,159.95
msi,amd,1196,,yes,PCI Express 3.0 16x,4,128,7000,GDDR5,1024,12,CrossFireX,90,159.95
sapphire,amd,1226,,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,896,12,CrossFireX,90,159.95
asus,nvidia,1354,1455,no,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,164.95
msi,nvidia,1404,1518,yes,PCI Express 3.0 16x,2,128,1752,GDRR5,640,12,,75,168.95
asus,nvidia,1455,1569,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,169.96
asus,amd,1071,,yes,PCI Express 3.0 16x,4,128,7000,GDDR5,640,12,CrossFireX,65,169.96
inno3D,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1750,GDDR5,768,12,,75,169.96
sapphire,amd,1175,1216,no,PCI Express 3.0 16x,4,128,1750,GDDR5,896,12,CrossFireX,90,169.96
msi,nvidia,1354,1556,yes,PCI Express 3.0 16x,2,128,1752,GDDR5,640,12,,75,174.95
inno3D,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1750,GDDR5,768,12,,75,175.96
asus,amd,,,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,1024,12,CrossFireX,80,179.95
inno3D,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1750,GDDR5,768,12,,75,179.95
asus,amd,,,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,1024,12,CrossFireX,90,184.96
asus,amd,1275,1285,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,1024,12,CrossFireX,90,184.96
asus,amd,1149,1197,yes,PCI Express 3.0 16x,4,128,1500,GDDR5,896,12,CrossFireX,75,184.96
msi,nvidia,1341,1455,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,187.96
asus,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,189.95
msi,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,189.95
gigabyte,nvidia,1303,1442,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,194.95
asus,nvidia,1303,1442,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,199.96
asus,amd,1326,1336,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,1024,12,CrossFireX,90,199.96
msi,nvidia,1341,1455,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,199.96
evga,nvidia,1366,1480,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,207.95
gigabyte,nvidia,1316,1455,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,212.95
asus,nvidia,1341,1480,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,214.96
gigabyte,nvidia,1290,1430,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,214.96
asus,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,216.95
gigabyte,nvidia,1328,1468,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,219.95
msi,nvidia,1290,1430,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,219.95
msi,nvidia,1354,1493,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,219.95
asus,nvidia,1392,1506,yes,PCI Express 3.0 16x,4,128,7008,GDDR5,768,12,,75,224.95
evga,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,229.96
evga,nvidia,1354,1468,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,229.96
gigabyte,nvidia,1366,1506,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,234.95
inno3D,nvidia,1506,1708,no,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,249.95
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,259.96
asus,nvidia,1506,1708,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,264.95
gigabyte,nvidia,1556,1797,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,269.95
evga,nvidia,1607,1835,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1280,12,,120,274.96
gigabyte,nvidia,1594,1847,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,274.96
gigabyte,nvidia,1531,1771,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,274.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,274.96
asus,nvidia,1594,1708,no,PCI Express 3.0 16x,3,192,1752,GDDR5,1152,12,,120,279.95
asus,nvidia,1594,1809,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,279.95
evga,nvidia,1506,1708,no,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,289.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,299.95
inno3D,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,312.95
msi,nvidia,1594,1809,yes,PCI Express 3.0 16x,3,192,2027,GDDR5,1152,12,,120,314.95
gigabyte,nvidia,1556,1797,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,334.96
inno3D,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,334.96
asus,amd,1256,1266,yes,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,339.95
asus,amd,1244,1254,yes,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,339.95
evga,nvidia,1607,1835,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,339.95
gigabyte,nvidia,1531,1771,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,339.95
msi,amd,1268,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,339.95
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,6,192,8008,GDDR5,,12,,120,344.95
asus,nvidia,1569,1809,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,349.95
asus,amd,1244,1254,no,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,349.96
amd,amd,1300,1310,yes,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,349.96
evga,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,349.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,349.96
sapphire,amd,1340,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,195,349.96
sapphire,amd,1284,,no,PCI Express 3.0 16x,8,256,1750,GDDR5,2048,12,CrossFireX,180,349.96
sapphire,amd,1340,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,195,354.95
gigabyte,nvidia,1594,1847,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,359.95
asus,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,362.95
